well_id,well_name,source,sample_date,lat,lon,depth_ft,aquifer,constituent,value,units,qualifier
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,ph,7.1,s.u.,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,tds,356,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,no3,0.0037,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,no2,,mg/L,ND
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,as,0.0029,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,f,0.3,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,al,0.74,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,cu,0.0011,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,fe,0.93,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,mn,0.018,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,zn,3.85,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,pb,0.0016,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,so4,29.8,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,cl,42.4,mg/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,gross_alpha,5.7,pCi/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,gross_beta,0.0,pCi/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,ra_combined,2.3,pCi/L,
W2,Black Oak Well No. 2 (synthetic post-construction sample),TCEQ (synthetic),2023-09-05,30.170167,-95.578097,780,Evangeline,uranium,2.8,ug/L,
